CustomerName;Age;MaritalStatus;Gender;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;CustomerType;CustomerScore
Cedric She;46;S;M;10000,00;0;0;Partial College;Manual;1;1;Person;Poor
Kristina Fernandez;46;S;F;10000,00;0;0;Partial College;Manual;0;1;Person;Poor
Carmen Sara;47;S;F;10000,00;0;0;High School;Manual;0;2;Person;Poor
Tyrone Ortega;48;S;M;10000,00;1;1;High School;Manual;0;0;Person;Poor
Brittney Ma;48;S;F;10000,00;1;1;High School;Manual;0;0;Person;Poor
Ian Martinez;45;M;M;10000,00;1;1;High School;Manual;1;0;Person;Poor
Kellie Hernandez;45;S;F;10000,00;1;1;High School;Manual;0;0;Person;Poor
Danny Travers;46;S;M;20000,00;0;0;Bachelors;Clerical;1;0;Person;Good
Tracy Chande;47;S;F;10000,00;1;1;High School;Manual;0;0;Person;Poor
Ruben Rodriguez;47;M;M;20000,00;0;0;Partial College;Manual;1;0;Person;Good
Mario Chander;81;S;M;30000,00;1;0;Bachelors;Clerical;1;0;Person;Standard
Meredith Madan;63;M;F;30000,00;4;0;Graduate Degree;Clerical;1;0;Person;Poor
Amy Li;63;M;F;30000,00;4;0;Graduate Degree;Clerical;1;0;Person;Poor
Benjamin Zhang;63;S;M;30000,00;4;0;Graduate Degree;Clerical;1;0;Person;Poor
Sandra Gao;63;M;F;30000,00;4;0;Graduate Degree;Clerical;1;0;Person;Poor
Mathew Blanco;63;S;M;30000,00;3;0;Graduate Degree;Clerical;1;0;Person;Poor
Armando Romero;63;M;M;30000,00;3;0;Graduate Degree;Clerical;1;0;Person;Poor
Franklin Zhang;64;M;M;20000,00;1;1;Partial College;Manual;1;0;Person;Standard
Alexandra Bryant;64;M;F;30000,00;3;0;Graduate Degree;Clerical;1;0;Person;Poor
Jillian Fernandez;65;M;F;20000,00;2;0;Partial College;Manual;1;1;Person;Poor
Larry Romero;66;M;M;30000,00;1;0;Graduate Degree;Clerical;1;0;Person;Standard
Randy Zhang;64;M;M;30000,00;3;0;Graduate Degree;Clerical;1;0;Person;Poor
Francisco Srini;64;M;M;30000,00;3;0;Graduate Degree;Clerical;1;0;Person;Poor
Cole Reed;64;S;M;30000,00;3;0;Bachelors;Clerical;1;0;Person;Poor
Nathan Lee;64;M;M;30000,00;3;0;Bachelors;Clerical;1;0;Person;Poor
Carol Cooper;64;M;F;30000,00;3;0;Bachelors;Clerical;1;0;Person;Poor
Arthur Van;64;M;M;40000,00;3;0;Graduate Degree;Clerical;1;0;Person;Poor
Tamara Zhu;64;M;F;40000,00;3;0;Graduate Degree;Clerical;1;0;Person;Poor
Brett Sanchez;65;M;M;30000,00;0;0;Bachelors;Clerical;1;0;Person;Good
Linda Carlson;65;M;F;30000,00;0;0;Bachelors;Clerical;1;0;Person;Good
Wendy Gutierrez;66;M;F;30000,00;1;0;Bachelors;Clerical;1;0;Person;Standard
Manuel Sara;54;S;M;20000,00;0;0;Partial College;Manual;1;1;Person;Standard
Shannon Torres;55;S;M;10000,00;2;2;High School;Manual;1;0;Person;Poor
Joel Prasad;54;M;M;30000,00;0;0;Bachelors;Clerical;1;0;Person;Good
Lance Gill;54;S;M;30000,00;0;0;Bachelors;Clerical;1;0;Person;Good
Nathan Hill;55;S;M;10000,00;2;2;High School;Manual;1;1;Person;Poor
Kelsey Tang;55;S;F;20000,00;0;0;Partial College;Manual;0;1;Person;Standard
Jake Ma;55;M;M;20000,00;0;0;Partial College;Manual;0;1;Person;Standard
Dawn Lal;55;M;F;30000,00;0;0;Bachelors;Clerical;1;0;Person;Good
Priscilla Rai;55;M;F;40000,00;0;0;Graduate Degree;Clerical;1;0;Person;Good
Maurice Lal;55;M;M;40000,00;0;0;Graduate Degree;Clerical;1;0;Person;Good
Barry Martinez;55;M;M;40000,00;0;0;Graduate Degree;Clerical;1;0;Person;Good
Micheal Rubio;55;M;M;40000,00;0;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Jesse Sanchez;72;M;M;10000,00;3;0;Partial College;Manual;0;2;Person;Poor
Jamie Xu;72;M;F;20000,00;2;0;Partial College;Manual;1;1;Person;Poor
Carly Andersen;72;M;F;20000,00;2;0;Partial College;Manual;1;1;Person;Poor
Cassie Lal;73;M;F;20000,00;2;0;Partial College;Manual;1;1;Person;Poor
Leah Zheng;56;S;F;20000,00;1;1;Partial College;Manual;0;0;Person;Standard
Arturo Ma;56;M;M;20000,00;1;1;Partial College;Manual;1;0;Person;Standard
Russell Nara;56;S;M;20000,00;1;1;Partial College;Manual;0;0;Person;Standard
Kevin Simmons;70;M;M;80000,00;4;2;Partial College;Professional;1;1;Person;Standard
Clarence Gao;80;S;M;70000,00;5;1;High School;Professional;1;2;Person;Poor
Bonnie Nath;80;M;F;80000,00;5;0;Bachelors;Management;1;2;Person;Poor
Shannon Suarez;79;M;M;110000,00;3;4;Bachelors;Management;1;4;Person;Standard
Derrick Ruiz;79;M;M;120000,00;4;4;Bachelors;Management;1;4;Person;Standard
Brad Beck;78;S;M;80000,00;5;0;Partial College;Professional;0;2;Person;Poor
Tamer Salah;78;M;F;100000,00;2;3;Bachelors;Management;1;4;Person;Good
Leonard Nath;78;M;M;130000,00;4;4;Partial College;Professional;1;4;Person;Standard
Sebastian Brooks;70;M;M;80000,00;4;2;Partial College;Professional;1;1;Person;Standard
Ruben Lopez;71;S;M;80000,00;4;2;Partial College;Professional;1;2;Person;Standard
Angel Richardson;71;M;M;90000,00;3;2;Partial College;Professional;1;1;Person;Standard
Willie Raje;70;M;M;100000,00;3;4;High School;Professional;1;3;Person;Standard
Jimmy Carlson;70;M;M;100000,00;3;4;High School;Professional;1;3;Person;Standard
Kristina Perez;71;M;F;120000,00;3;5;Bachelors;Management;1;3;Person;Standard
Rachel Reed;71;M;F;130000,00;4;5;Partial College;Professional;1;2;Person;Standard
Audrey Ruiz;71;M;F;170000,00;0;5;Bachelors;Management;1;3;Person;Good
Kenneth Xu;72;S;M;90000,00;4;1;High School;Professional;1;2;Person;Standard
Colleen Anand;72;M;F;170000,00;4;5;Partial College;Professional;1;3;Person;Standard
Lori Dominguez;72;M;F;170000,00;4;5;Partial College;Professional;1;4;Person;Standard
Omar Goel;73;M;M;80000,00;4;1;High School;Professional;1;3;Person;Standard
Aaron Wright;74;M;M;90000,00;4;1;High School;Management;1;3;Person;Standard
Martin Malhotra;74;S;M;90000,00;4;1;High School;Management;1;3;Person;Standard
Carolyn Martin;74;M;F;130000,00;4;5;High School;Management;1;4;Person;Standard
Nichole Andersen;74;M;F;150000,00;4;5;Bachelors;Management;1;3;Person;Standard
Briana Gill;74;M;F;160000,00;2;5;Partial College;Management;0;3;Person;Good
Larry Vazquez;75;M;M;80000,00;5;1;High School;Management;1;3;Person;Poor
Blake Roberts;75;M;M;90000,00;4;1;High School;Management;1;3;Person;Standard
Audrey Blanco;75;M;F;110000,00;4;5;High School;Management;1;3;Person;Standard
Joy Gomez;75;M;F;170000,00;0;5;High School;Management;1;4;Person;Good
Damien Chande;76;M;M;80000,00;5;1;High School;Management;1;4;Person;Poor
Toni Sanchez;77;M;F;80000,00;5;1;Partial High School;Skilled Manual;1;4;Person;Poor
Deborah Pal;77;M;F;80000,00;5;1;Partial High School;Skilled Manual;1;4;Person;Poor
Jessie Huang;77;M;M;90000,00;5;0;Partial High School;Skilled Manual;0;2;Person;Standard
Morgan Adams;77;M;F;90000,00;5;0;Partial High School;Skilled Manual;1;2;Person;Standard
Krista Gill;77;M;F;130000,00;5;5;Partial College;Professional;1;4;Person;Standard
Joy Suarez;49;M;F;60000,00;0;0;Bachelors;Professional;1;4;Person;Poor
Jessie Zhu;49;S;M;60000,00;0;0;Bachelors;Professional;0;4;Person;Poor
Maria Wood;48;M;F;70000,00;0;0;Bachelors;Professional;1;2;Person;Good
Melissa Patterson;48;S;F;70000,00;0;0;Bachelors;Professional;1;2;Person;Good
Irving Schmidt;48;S;M;70000,00;0;0;Bachelors;Professional;0;3;Person;Standard
Sarah Martinez;49;S;F;70000,00;0;0;Bachelors;Professional;0;3;Person;Standard
Alan Huang;50;S;M;70000,00;0;0;Bachelors;Professional;0;3;Person;Standard
Carson Butler;49;S;M;80000,00;0;0;Bachelors;Professional;0;3;Person;Good
Colin Stone;49;M;M;80000,00;0;0;Bachelors;Professional;1;3;Person;Good
Jimmy Travers;49;M;M;90000,00;0;0;Bachelors;Professional;1;2;Person;Good
Holly Fernandez;51;S;F;80000,00;0;0;Bachelors;Professional;0;3;Person;Good
Michele Madan;50;S;F;90000,00;0;0;Bachelors;Professional;1;2;Person;Good
Cedric Liu;50;M;M;100000,00;0;5;High School;Management;1;2;Person;Good
Dana Serrano;50;S;F;130000,00;4;5;High School;Management;1;4;Person;Standard
Stacy Gill;51;M;F;100000,00;0;5;High School;Management;0;2;Person;Good
George Sanchez;52;S;M;80000,00;0;0;Bachelors;Professional;0;3;Person;Good
Christy Chow;52;S;F;80000,00;0;0;Bachelors;Professional;0;3;Person;Good
Kari Subram;51;M;F;100000,00;0;5;High School;Management;0;2;Person;Good
Laura Zhou;51;S;F;120000,00;5;5;Partial High School;Professional;1;4;Person;Standard
Shaun Shen;51;M;M;120000,00;0;5;Partial High School;Professional;1;4;Person;Good
Jaclyn Xu;52;M;F;90000,00;0;0;Bachelors;Professional;1;3;Person;Good
Trisha Zhou;52;S;F;90000,00;0;0;Bachelors;Professional;1;3;Person;Good
Marshall Li;52;S;M;90000,00;0;0;Bachelors;Professional;0;3;Person;Good
Stacy Navarro;52;S;F;90000,00;0;0;Bachelors;Professional;1;3;Person;Good
Tamara Pal;52;S;F;90000,00;0;0;Bachelors;Professional;0;3;Person;Good
Roger Zhang;52;M;M;100000,00;0;5;High School;Management;1;2;Person;Good
Rafael Andersen;52;M;M;100000,00;0;5;High School;Management;1;3;Person;Good
Glenn Lu;53;S;M;80000,00;0;0;Bachelors;Professional;1;4;Person;Standard
Ruth Gonzalez;53;M;F;80000,00;0;0;Bachelors;Professional;1;4;Person;Standard
Jay Arthur;52;S;M;120000,00;0;5;Partial High School;Professional;1;4;Person;Good
Kari Ruiz;53;M;F;90000,00;0;0;Bachelors;Professional;1;4;Person;Standard
Stacey Hu;53;M;F;100000,00;0;5;High School;Management;1;4;Person;Good
Brenda Stone;54;S;F;90000,00;0;0;Bachelors;Professional;0;4;Person;Standard
Mohamed Pal;54;M;M;110000,00;0;5;High School;Management;1;4;Person;Good
Amy Chow;54;M;F;120000,00;0;5;Partial High School;Professional;1;4;Person;Good
Mindy Kumar;53;M;F;110000,00;0;5;Partial High School;Professional;1;4;Person;Good
Gary Gutierrez;53;M;M;110000,00;0;5;Partial High School;Professional;1;4;Person;Good
Yolanda Shan;53;M;F;110000,00;0;5;Partial High School;Professional;1;4;Person;Good
Renee Suarez;53;M;F;110000,00;0;5;Partial High School;Professional;1;4;Person;Good
Barbara Nara;53;M;F;120000,00;0;5;Partial High School;Management;1;4;Person;Good
Andre Garcia;55;M;M;150000,00;0;5;Bachelors;Management;1;4;Person;Good
Louis Liang;55;M;M;160000,00;0;5;Bachelors;Management;1;4;Person;Good
Ian Lewis;83;M;M;70000,00;5;0;Graduate Degree;Management;1;2;Person;Poor
Bonnie Pal;83;M;F;90000,00;5;0;Bachelors;Management;1;2;Person;Standard
Ian Rodriguez;83;M;M;130000,00;2;3;Bachelors;Management;1;4;Person;Good
Dalton Evans;83;S;M;170000,00;2;3;Graduate Degree;Management;0;2;Person;Good
Heather Zheng;51;S;F;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Arthur Romero;51;S;M;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Deborah Xie;51;S;F;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Colleen Lu;51;S;F;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Eddie Gill;61;M;M;60000,00;3;2;Bachelors;Professional;1;2;Person;Standard
Dale Shen;50;S;M;30000,00;0;0;Partial College;Clerical;1;1;Person;Good
Hannah Wood;50;M;F;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Tammy Sai;50;S;F;30000,00;0;0;Partial College;Clerical;1;1;Person;Good
Cheryl Ruiz;50;S;F;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Nicolas Chande;50;S;M;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Rebekah Martinez;50;S;F;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Latasha Gomez;44;S;F;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Kurt Jai;44;M;M;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Eddie Martin;44;S;M;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Gabrielle James;114;M;F;10000,00;4;0;Partial High School;Manual;0;2;Person;Poor
Kurt Goel;44;S;M;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Amanda Ross;44;S;F;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Jeremiah Stewart;45;S;M;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Jose Perry;45;S;M;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Karla Becker;46;S;F;30000,00;0;0;High School;Manual;1;1;Person;Good
Steven Murphy;51;S;M;30000,00;0;0;High School;Manual;0;1;Person;Good
Todd Guo;52;S;M;10000,00;0;0;Partial High School;Manual;1;2;Person;Poor
Lacey Cai;52;S;F;10000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Margaret Zhou;52;S;F;10000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Donald Mehta;52;S;M;20000,00;0;0;Partial High School;Manual;1;2;Person;Poor
Diana Ruiz;52;S;F;20000,00;0;0;Partial High School;Manual;1;2;Person;Poor
Brett Chandra;51;S;M;30000,00;0;0;High School;Manual;0;1;Person;Good
Melinda Rubio;51;M;F;40000,00;1;1;Bachelors;Skilled Manual;1;0;Person;Standard
Evan Young;51;M;M;40000,00;1;1;Bachelors;Skilled Manual;1;1;Person;Standard
Kathryn Goel;52;S;F;30000,00;0;0;High School;Manual;1;1;Person;Good
Raymond Sam;52;S;M;30000,00;0;0;High School;Manual;1;1;Person;Good
Samantha Martinez;52;S;F;40000,00;2;2;Partial College;Clerical;1;0;Person;Standard
Carl Kumar;52;M;M;40000,00;2;2;Partial College;Clerical;0;0;Person;Standard
Anna Moore;52;S;F;40000,00;2;2;Partial College;Clerical;1;0;Person;Standard
Rafael Wu;52;S;M;40000,00;2;2;Partial College;Clerical;1;0;Person;Standard
Juan Torres;53;S;M;10000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Colleen Hu;53;S;F;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Grace Bell;53;S;F;30000,00;0;0;High School;Manual;0;1;Person;Good
Miguel Lee;53;S;M;30000,00;0;0;High School;Manual;0;1;Person;Good
Teresa Vazquez;54;S;F;40000,00;2;2;Partial College;Clerical;1;0;Person;Standard
Priscilla Xu;54;S;F;40000,00;2;2;Partial College;Clerical;1;0;Person;Standard
Jonathon Alvarez;54;S;M;40000,00;2;2;Partial College;Clerical;1;0;Person;Standard
Ramon Zhao;53;S;M;40000,00;2;2;Partial College;Clerical;1;1;Person;Standard
Lindsey Deng;54;M;F;40000,00;2;2;Partial College;Clerical;0;2;Person;Standard
Chloe Hughes;49;S;F;40000,00;3;3;Partial College;Clerical;1;0;Person;Poor
Antonio Butler;49;S;M;40000,00;3;3;Partial College;Clerical;1;1;Person;Poor
Sara Ramirez;50;S;F;40000,00;3;3;Partial College;Clerical;1;2;Person;Poor
Stephanie Ramirez;94;M;F;30000,00;1;0;Bachelors;Skilled Manual;1;1;Person;Standard
Jada Sanders;93;M;F;40000,00;1;0;Graduate Degree;Skilled Manual;1;1;Person;Standard
Krista Gomez;58;S;F;60000,00;0;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Alexandra Richardson;58;S;F;60000,00;0;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Jonathan Smith;71;M;M;30000,00;1;0;Bachelors;Skilled Manual;1;1;Person;Standard
Chloe Russell;71;M;F;30000,00;1;0;Bachelors;Skilled Manual;1;1;Person;Standard
Alexandra Harris;71;M;F;30000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Robyn Gill;70;M;F;20000,00;2;0;Partial High School;Manual;0;2;Person;Poor
Jordyn Bryant;70;M;F;20000,00;3;0;Partial High School;Clerical;0;2;Person;Poor
Christopher Robinson;70;M;M;30000,00;1;0;High School;Clerical;1;1;Person;Standard
Johnathan Chapman;70;M;M;30000,00;1;0;High School;Clerical;1;1;Person;Standard
Thomas Zhang;69;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Charles Evans;69;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Morgan Thomas;69;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Abigail Clark;69;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Samantha Taylor;69;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Kristen Gao;69;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Connor Griffin;69;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Blake Campbell;69;M;M;80000,00;5;0;Graduate Degree;Skilled Manual;0;0;Person;Poor
Joseph Anderson;68;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Connie Morgan;68;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Mason Rogers;68;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Jeremy Richardson;68;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Emma James;68;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Elizabeth Long;68;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Jerome Gutierrez;68;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Jonathan Campbell;68;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Javier Ortega;68;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
James Yang;68;M;M;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Katelyn Cook;68;S;F;70000,00;5;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Amanda Nelson;67;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Jamie Zeng;67;M;F;40000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Brandon Kumar;66;S;M;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Angelica Foster;66;S;F;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Blake White;66;M;M;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Jessie Guo;66;M;M;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Megan Jackson;65;S;F;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Antonio Foster;65;M;M;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Jason Zhang;65;M;M;60000,00;4;0;Graduate Degree;Skilled Manual;0;0;Person;Poor
Patrick Howard;65;S;M;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Andy Gutierrez;56;M;M;20000,00;1;1;Partial College;Manual;1;1;Person;Standard
George Chandra;56;M;M;30000,00;1;0;Bachelors;Clerical;1;0;Person;Standard
Lacey Chen;56;M;F;30000,00;1;0;Bachelors;Clerical;1;0;Person;Standard
Melody Browning;56;S;F;30000,00;1;0;Bachelors;Clerical;1;0;Person;Standard
Alan Sun;56;S;M;30000,00;1;0;Bachelors;Clerical;1;0;Person;Standard
Heather Li;56;M;F;30000,00;1;0;Bachelors;Clerical;1;0;Person;Standard
Jaclyn Chander;56;S;F;30000,00;1;1;Bachelors;Clerical;0;0;Person;Standard
Marvin Moreno;56;M;M;40000,00;0;0;Graduate Degree;Clerical;1;0;Person;Good
Ronnie Zeng;56;M;M;40000,00;0;0;Graduate Degree;Clerical;1;0;Person;Good
Nina Kumar;56;S;F;40000,00;0;0;Graduate Degree;Clerical;1;0;Person;Good
Marc Schmidt;56;M;M;40000,00;0;0;Bachelors;Clerical;1;0;Person;Good
Michele Navarro;57;M;F;20000,00;1;1;Partial College;Manual;1;1;Person;Standard
Chase Stewart;98;M;M;30000,00;1;0;Bachelors;Clerical;1;1;Person;Standard
Marc Serrano;57;S;M;20000,00;1;1;Partial College;Manual;0;1;Person;Standard
Brandi Sanz;57;M;F;20000,00;1;1;High School;Manual;1;1;Person;Standard
Reginald Ramos;57;M;M;30000,00;1;1;Bachelors;Clerical;1;0;Person;Standard
Casey Sharma;57;S;F;30000,00;1;1;Bachelors;Clerical;0;0;Person;Standard
Dominique Mehta;57;M;F;30000,00;1;1;Bachelors;Clerical;1;1;Person;Standard
Tammy Mehta;58;S;F;10000,00;5;4;Partial High School;Manual;1;2;Person;Poor
Theodore Suarez;58;S;M;10000,00;5;4;Partial High School;Manual;1;2;Person;Poor
Curtis She;58;M;M;20000,00;1;1;High School;Manual;1;1;Person;Standard
Nicolas Chander;58;S;M;20000,00;2;2;High School;Manual;1;0;Person;Poor
Derek Tang;58;S;M;20000,00;2;2;High School;Manual;1;0;Person;Poor
Cesar McDonald;57;M;M;40000,00;0;0;Bachelors;Clerical;1;0;Person;Good
Alexandra James;57;M;F;40000,00;0;0;Bachelors;Clerical;0;0;Person;Good
Bethany She;97;M;F;10000,00;4;0;High School;Manual;0;2;Person;Poor
Kristopher Subram;58;S;M;30000,00;1;1;Bachelors;Clerical;0;1;Person;Standard
Kelvin Hu;58;M;M;30000,00;1;1;Bachelors;Skilled Manual;1;1;Person;Standard
Caleb Gonzalez;59;S;M;10000,00;5;3;Partial High School;Manual;1;2;Person;Poor
Nicolas Raje;59;S;M;20000,00;2;2;High School;Manual;1;1;Person;Poor
Carol Rubio;60;S;F;10000,00;5;2;Partial High School;Manual;1;1;Person;Poor
Micah Li;60;S;M;20000,00;2;2;High School;Manual;1;2;Person;Poor
Russell Raje;60;S;M;20000,00;3;3;High School;Manual;1;0;Person;Poor
Kathryn Lal;60;S;F;20000,00;3;3;High School;Manual;1;0;Person;Poor
Douglas Prasad;60;S;M;20000,00;3;3;High School;Manual;1;0;Person;Poor
Sheena Goel;60;S;F;20000,00;3;3;High School;Manual;1;1;Person;Poor
Kelsey Xie;60;M;F;30000,00;1;1;Bachelors;Skilled Manual;1;2;Person;Poor
Karl Yuan;61;S;M;10000,00;3;2;Partial High School;Manual;1;2;Person;Poor
Rodney Munoz;61;S;M;20000,00;3;3;High School;Manual;1;2;Person;Poor
Nicole Anderson;91;M;F;20000,00;2;0;Partial College;Manual;1;1;Person;Poor
Ralph Beck;58;M;M;40000,00;0;0;Bachelors;Professional;1;0;Person;Good
Dominique Fernandez;58;S;F;60000,00;0;0;Graduate Degree;Skilled Manual;0;0;Person;Good
Naomi Sanz;90;M;F;40000,00;1;0;Graduate Degree;Skilled Manual;1;0;Person;Standard
Yolanda Xie;59;S;F;30000,00;2;2;Partial College;Clerical;1;1;Person;Poor
Kelvin Becker;59;S;M;30000,00;2;2;Partial College;Clerical;1;1;Person;Poor
Summer Smith;59;S;F;30000,00;2;2;Partial College;Clerical;1;1;Person;Poor
Gerald Gonzalez;59;M;M;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Angela Torres;59;M;F;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Bridget Nara;60;S;F;30000,00;2;2;Partial College;Clerical;1;2;Person;Poor
Colin Chander;60;M;M;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Brittney Lu;60;M;F;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Adam Baker;61;S;M;30000,00;2;2;Partial College;Clerical;1;2;Person;Poor
Johnny Raji;47;S;M;20000,00;0;0;High School;Manual;0;1;Person;Standard
Brandy Sai;45;S;F;20000,00;4;4;High School;Manual;1;2;Person;Poor
Teresa Carlson;45;S;F;30000,00;3;3;Partial College;Clerical;1;1;Person;Poor
Evelyn Malhotra;61;M;F;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Reginald Romero;61;M;M;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Philip Diaz;61;M;M;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Rosa Lin;61;M;F;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Raul Kumar;61;M;M;40000,00;1;0;Bachelors;Skilled Manual;1;0;Person;Standard
Adriana Mehta;62;S;F;30000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Evelyn Gonzalez;62;S;F;30000,00;1;0;Partial College;Clerical;1;1;Person;Standard
Jillian Prasad;62;M;F;40000,00;1;0;Bachelors;Skilled Manual;1;1;Person;Standard
Robyn Jimenez;62;M;F;40000,00;1;0;Bachelors;Skilled Manual;1;1;Person;Standard
Melinda Ortega;46;S;F;30000,00;3;3;Partial College;Clerical;1;2;Person;Poor
Caleb Zhang;46;S;M;30000,00;4;4;Partial College;Clerical;1;1;Person;Poor
Michelle Townsend;46;S;F;30000,00;4;4;Partial College;Clerical;1;2;Person;Poor
Brandy Martinez;48;M;F;20000,00;0;0;High School;Manual;0;1;Person;Standard
Janelle Fernandez;49;S;F;10000,00;0;0;Partial High School;Manual;1;2;Person;Poor
Laura Ye;49;S;F;10000,00;0;0;Partial High School;Manual;1;2;Person;Poor
Julie Anand;49;S;F;20000,00;0;0;High School;Manual;0;1;Person;Standard
Alisha Tang;48;M;F;20000,00;0;0;High School;Manual;0;1;Person;Standard
Tyrone Munoz;48;S;M;20000,00;0;0;Partial High School;Manual;0;1;Person;Standard
Leah Li;48;S;F;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Olivia Hughes;49;S;F;30000,00;0;0;Partial College;Clerical;0;1;Person;Good
Mandar Samant;50;S;F;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Kirk Nason;50;S;F;20000,00;0;0;Partial High School;Manual;0;2;Person;Poor
Brianna Ross;65;S;F;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Blake Robinson;65;M;M;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Alexander Williams;65;M;M;60000,00;4;0;Graduate Degree;Skilled Manual;1;0;Person;Poor
Gilbert Sun;52;M;M;40000,00;4;4;High School;Skilled Manual;1;3;Person;Poor
Elijah Nelson;52;M;M;40000,00;0;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Luis Hayes;51;S;M;50000,00;0;0;Graduate Degree;Skilled Manual;0;0;Person;Good
Isabella Edwards;51;S;F;50000,00;1;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Eduardo Allen;51;M;M;50000,00;1;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Stephanie Bailey;53;S;F;60000,00;1;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Megan Williams;53;S;F;60000,00;1;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Jonathan Anderson;53;M;M;60000,00;1;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Jocelyn Long;53;S;F;60000,00;1;0;Graduate Degree;Skilled Manual;1;0;Person;Good
Brendan Pal;53;M;M;60000,00;1;1;Graduate Degree;Skilled Manual;1;0;Person;Good
Melissa Barnes;53;M;F;60000,00;1;1;Graduate Degree;Skilled Manual;1;0;Person;Good
James Adams;53;M;M;60000,00;1;1;Graduate Degree;Skilled Manual;1;0;Person;Good
Steven Thorpe;53;M;M;60000,00;1;1;Graduate Degree;Skilled Manual;1;0;Person;Good
Kaylee King;53;M;F;60000,00;1;1;Graduate Degree;Skilled Manual;1;0;Person;Good
